X,NACA 4410-Re=   3e+05-Alpha= 0.00-NCrit=  9.0-XTrTop=0.772-XtrBot=1.000, , 
            1,     0.1616795, , 
    0.9964367,      0.149751, , 
    0.9903332,     0.1281541, , 
    0.9833173,     0.1051022, , 
    0.9754739,    0.08115112, , 
    0.9669764,    0.05725786, , 
    0.9580273,    0.03415609, , 
    0.9487931,    0.01227671, , 
      0.93939,   -0.00820511, , 
    0.9298892,   -0.02727486, , 
    0.9203318,   -0.04499586, , 
    0.9107406,   -0.06146006, , 
     0.901128,   -0.07676533, , 
    0.8915006,   -0.09100977, , 
    0.8818623,    -0.1042986, , 
    0.8722149,    -0.1167643, , 
    0.8625598,    -0.1286047, , 
    0.8528975,    -0.1401512, , 
    0.8432286,     -0.151978, , 
    0.8335535,    -0.1650574, , 
    0.8238723,    -0.1809214, , 
    0.8141854,    -0.2016356, , 
    0.8044929,     -0.229305, , 
    0.7947952,    -0.2652476, , 
    0.7850923,    -0.3083652, , 
    0.7753845,     -0.354521, , 
     0.765672,    -0.3705956, , 
    0.7559551,    -0.3746001, , 
    0.7462339,    -0.3786218, , 
    0.7365085,    -0.3826715, , 
    0.7267794,    -0.3867723, , 
    0.7170465,    -0.3909496, , 
    0.7073102,    -0.3952282, , 
    0.6975707,     -0.399631, , 
    0.6878282,    -0.4041785, , 
    0.6780828,    -0.4088878, , 
    0.6683349,     -0.413757, , 
    0.6585847,    -0.4187949, , 
    0.6488322,    -0.4240174, , 
    0.6390779,    -0.4294407, , 
    0.6293219,    -0.4350791, , 
    0.6195645,    -0.4409447, , 
    0.6098059,    -0.4470455, , 
    0.6000464,    -0.4533848, , 
    0.5902861,    -0.4599611, , 
    0.5805254,    -0.4667686, , 
    0.5707645,    -0.4737977, , 
    0.5610037,    -0.4810366, , 
    0.5512433,     -0.488472, , 
    0.5414835,     -0.496091, , 
    0.5317246,    -0.5038818, , 
     0.521967,    -0.5118346, , 
     0.512211,    -0.5199426, , 
    0.5024569,    -0.5282023, , 
     0.492705,    -0.5366141, , 
    0.4829559,    -0.5451823, , 
      0.47321,     -0.553916, , 
     0.463468,    -0.5628298, , 
    0.4537308,    -0.5719386, , 
    0.4439997,    -0.5812754, , 
    0.4342779,    -0.5908684, , 
    0.4245681,    -0.6007417, , 
     0.414877,    -0.6110068, , 
    0.4052223,    -0.6217969, , 
    0.3956283,    -0.6328844, , 
    0.3861026,    -0.6435076, , 
    0.3766162,    -0.6528139, , 
     0.367147,     -0.661249, , 
    0.3576952,     -0.668839, , 
     0.348257,    -0.6755673, , 
    0.3388309,    -0.6814746, , 
    0.3294171,    -0.6865945, , 
    0.3200159,    -0.6909352, , 
     0.310628,    -0.6945113, , 
    0.3012544,    -0.6973304, , 
    0.2918963,    -0.6993939, , 
    0.2825547,    -0.7007015, , 
     0.273231,    -0.7012482, , 
    0.2639266,    -0.7010261, , 
     0.254643,    -0.7000237, , 
     0.245382,    -0.6982272, , 
    0.2361453,    -0.6956195, , 
    0.2269348,    -0.6921809, , 
    0.2177528,     -0.687888, , 
    0.2086016,    -0.6827142, , 
    0.1994838,      -0.67663, , 
    0.1904024,    -0.6696018, , 
    0.1813607,    -0.6615916, , 
    0.1723624,    -0.6525562, , 
    0.1634119,    -0.6424467, , 
    0.1545141,     -0.631208, , 
    0.1456748,    -0.6187778, , 
    0.1369009,    -0.6050841, , 
    0.1282009,    -0.5900436, , 
     0.119585,    -0.5735615, , 
     0.111066,      -0.55553, , 
    0.1026604,    -0.5358278, , 
   0.09438927,    -0.5143174, , 
   0.08628034,    -0.4908459, , 
    0.0783696,    -0.4652565, , 
   0.07070328,    -0.4374009, , 
   0.06333869,    -0.4071635, , 
    0.0563427,    -0.3744772, , 
   0.04978599,    -0.3393448, , 
   0.04373292,    -0.3018663, , 
   0.03822928,    -0.2622227, , 
   0.03329311,    -0.2206244, , 
   0.02891269,     -0.177217, , 
   0.02505218,    -0.1320559, , 
   0.02166137,   -0.08511993, , 
   0.01868483,   -0.03629909, , 
   0.01606847,    0.01462974, , 
   0.01376331,    0.06800761, , 
   0.01172705,     0.1241105, , 
  0.009924243,     0.1833121, , 
   0.00832567,     0.2459651, , 
   0.00690757,     0.3123356, , 
  0.005651001,     0.3826715, , 
  0.004540987,     0.4569334, , 
  0.003566057,     0.5348568, , 
  0.002717655,     0.6156515, , 
  0.001989645,     0.6976586, , 
  0.001378035,      0.778532, , 
 0.0008804977,     0.8542359, , 
 0.0004955415,     0.9199716, , 
 0.0002217306,     0.9693244, , 
 5.799393e-05,     0.9964599, , 
 2.108851e-07,     0.9962579, , 
 4.744512e-05,      0.965032, , 
 0.0002088443,      0.898357, , 
 0.0004977566,     0.7967501, , 
 0.0009216153,     0.6669114, , 
  0.001484541,      0.521783, , 
  0.002186593,      0.375188, , 
  0.003025203,     0.2385052, , 
  0.003997772,     0.1183631, , 
  0.005102992,    0.01728751, , 
  0.006342054,   -0.06515115, , 
  0.007719277,     -0.130777, , 
   0.00924256,    -0.1819129, , 
   0.01092372,    -0.2210622, , 
   0.01277909,    -0.2502624, , 
      0.01483,    -0.2712073, , 
   0.01710346,    -0.2853477, , 
   0.01963291,    -0.2938699, , 
   0.02245947,    -0.2976112, , 
   0.02563433,    -0.2972623, , 
   0.02921857,     -0.293366, , 
   0.03327846,    -0.2863369, , 
   0.03788144,    -0.2765624, , 
   0.04309064,    -0.2644164, , 
   0.04895191,    -0.2502901, , 
    0.0554783,    -0.2346369, , 
   0.06264154,    -0.2179652, , 
   0.07037564,    -0.2007894, , 
   0.07859159,    -0.1835497, , 
   0.08719573,    -0.1665846, , 
    0.0961036,    -0.1501256, , 
    0.1052463,    -0.1343103, , 
    0.1145711,    -0.1192066, , 
    0.1240387,    -0.1048337, , 
    0.1336205,   -0.09118337, , 
    0.1432954,    -0.0782327, , 
    0.1530477,   -0.06595139, , 
    0.1628656,   -0.05430647, , 
    0.1727399,   -0.04326425, , 
    0.1826632,   -0.03279229, , 
    0.1926296,   -0.02286031, , 
    0.2026339,   -0.01344053, , 
    0.2126714,  -0.004507876, , 
    0.2227368,   0.003959795, , 
    0.2328241,    0.01198146, , 
    0.2429242,     0.0195716, , 
    0.2530221,    0.02673907, , 
    0.2631084,    0.03349581, , 
    0.2731803,    0.03985613, , 
    0.2832367,    0.04583262, , 
    0.2932777,    0.05143566, , 
     0.303304,    0.05667261, , 
    0.3133165,    0.06154745, , 
     0.323316,    0.06606098, , 
    0.3333037,    0.07020787, , 
    0.3432809,     0.0739813, , 
    0.3532487,     0.0773652, , 
      0.36321,    0.08033004, , 
    0.3731687,    0.08285742, , 
     0.383128,    0.08488847, , 
    0.3931023,    0.08625736, , 
    0.4031273,    0.08698584, , 
    0.4131988,    0.08757003, , 
    0.4232965,     0.0883221, , 
    0.4334152,    0.08924027, , 
    0.4435438,    0.09027923, , 
    0.4536746,    0.09143981, , 
    0.4638033,    0.09270854, , 
     0.473928,    0.09406449, , 
    0.4840479,    0.09549252, , 
    0.4941626,    0.09697805, , 
    0.5042723,    0.09850693, , 
    0.5143769,     0.1000675, , 
    0.5244768,     0.1016489, , 
    0.5345721,      0.103242, , 
    0.5446632,     0.1048386, , 
    0.5547501,     0.1064318, , 
    0.5648332,     0.1080154, , 
    0.5749127,     0.1095842, , 
    0.5849889,     0.1111336, , 
    0.5950618,     0.1126598, , 
    0.6051318,     0.1141594, , 
    0.6151989,     0.1156296, , 
    0.6252636,     0.1170681, , 
    0.6353258,     0.1184729, , 
    0.6453858,     0.1198425, , 
    0.6554438,     0.1211756, , 
    0.6654999,     0.1224713, , 
    0.6755543,      0.123729, , 
    0.6856072,     0.1249484, , 
    0.6956588,     0.1261294, , 
    0.7057091,     0.1272723, , 
    0.7157584,     0.1283777, , 
    0.7258067,     0.1294462, , 
    0.7358543,     0.1304791, , 
    0.7459013,     0.1314777, , 
    0.7559479,     0.1324437, , 
     0.765994,     0.1333792, , 
      0.77604,     0.1342866, , 
     0.786086,     0.1351688, , 
     0.796132,     0.1360293, , 
    0.8061782,     0.1368724, , 
    0.8162247,     0.1377025, , 
    0.8262717,     0.1385251, , 
    0.8363192,     0.1393462, , 
    0.8463673,     0.1401726, , 
     0.856416,     0.1410124, , 
    0.8664651,     0.1418747, , 
    0.8765143,       0.14277, , 
    0.8865627,     0.1437104, , 
    0.8966087,     0.1447096, , 
    0.9066489,     0.1457831, , 
    0.9166767,      0.146948, , 
    0.9266794,     0.1482226, , 
    0.9366334,     0.1496248, , 
    0.9464947,     0.1511696, , 
     0.956186,     0.1528622, , 
    0.9655791,     0.1546888, , 
    0.9744892,     0.1566023, , 
    0.9826915,     0.1585192, , 
    0.9899977,     0.1602925, , 
    0.9963223,     0.1618906, , 
            1,     0.1616795, , 

